Time (s),White Line Pos,User Input,Actual Position,Margin of Error,Coins Collected
9.623549,0.0825,.4,0.02273067,172.4477,N/A
9.642627,0.0825,,0.02273067,172.4477,N/A
9.663447,0.0825,,0.02273067,172.4477,N/A
9.683387,0.0825,,0.02273067,172.4477,N/A
9.703353,0.0825,,0.02273067,172.4477,N/A
9.722118,0.0825,,0.02273067,172.4477,N/A
9.743035,0.0825,4,0.03091467,162.5277,N/A
9.762437,0.0825,4,0.03091467,162.5277,N/A
9.782445,0.0825,4,0.03091467,162.5277,N/A
9.801984,0.0825,4,0.03091467,162.5277,N/A
9.822954,0.0825,4,0.03091467,162.5277,N/A
9.84284,0.0825,4,0.03091467,162.5277,N/A
9.862382,0.0825,4,0.03091467,162.5277,N/A
9.882357,0.0825,4,0.03091467,162.5277,N/A
9.903354,0.0825,4,0.03091467,162.5277,N/A
9.922451,0.0825,.4,0.02273067,172.4477,N/A
9.942982,0.0825,.4,0.02273067,172.4477,N/A
9.96333,0.0825,.4,0.02273067,172.4477,N/A
9.983371,0.0825,.4,0.02273067,172.4477,N/A
10.00195,0.0825,.4,0.02273067,172.4477,N/A
10.02337,0.0825,.4,0.02273067,172.4477,N/A
10.04334,0.0825,.4,0.02273067,172.4477,N/A
10.06237,0.0825,.4,0.02273067,172.4477,N/A
10.08237,0.0825,.4,0.02273067,172.4477,N/A
10.10234,0.0825,,0.02273067,172.4477,N/A
10.12285,0.0825,,0.02273067,172.4477,N/A
10.143,0.0825,,0.02273067,172.4477,N/A
10.16247,0.0825,,0.02273067,172.4477,N/A
10.18235,0.0825,,0.02273067,172.4477,N/A
10.20336,0.0825,4,0.03091467,162.5277,N/A
10.22293,0.0825,4,0.03091467,162.5277,N/A
10.24244,0.0825,4,0.03091467,162.5277,N/A
10.26239,0.0825,4,0.03091467,162.5277,N/A
10.28343,0.0825,4,0.03091467,162.5277,N/A
10.30244,0.0825,4,0.03091467,162.5277,N/A
10.32238,0.0825,4,0.03091467,162.5277,N/A
10.34343,0.0825,4,0.03091467,162.5277,N/A
10.36285,0.0825,4,0.03091467,162.5277,N/A
10.38285,0.0825,.4,0.02273067,172.4477,N/A
10.40336,0.0825,.4,0.02273067,172.4477,N/A
10.42224,0.0825,.4,0.02273067,172.4477,N/A
